Rank,TV_show,Year,Rating,Link
87,The Boys,2019,8.7,https://www.imdb.com/title/tt1190634/
88,The Simpsons,1989,8.7,https://www.imdb.com/title/tt0096697/
89,House M.D.,2004,8.7,https://www.imdb.com/title/tt0412142/
90,The Shield,2002,8.7,https://www.imdb.com/title/tt0286486/
91,Stranger Things,2016,8.7,https://www.imdb.com/title/tt4574334/
92,Fleabag,2016,8.6,https://www.imdb.com/title/tt5687612/
93,Battlestar Galactica,2004,8.6,https://www.imdb.com/title/tt0407362/
94,Downton Abbey,2010,8.6,https://www.imdb.com/title/tt1606375/
95,Invincible,2021,8.6,https://www.imdb.com/title/tt6741278/
96,Sarabhai V/S Sarabhai,2004,8.6,https://www.imdb.com/title/tt1518542/
97,Gullak,2019,8.6,https://www.imdb.com/title/tt10530900/
98,Mad Men,2007,8.6,https://www.imdb.com/title/tt0804503/
99,Vinland Saga,2019,8.6,https://www.imdb.com/title/tt10233448/
100,Panchayat,2020,8.6,https://www.imdb.com/title/tt12004706/
101,House of Cards,2013,8.6,https://www.imdb.com/title/tt1856010/
102,The Marvelous Mrs. Maisel,2017,8.6,https://www.imdb.com/title/tt5788792/
103,Severance,2022,8.6,https://www.imdb.com/title/tt11280740/
104,Peep Show,2003,8.6,https://www.imdb.com/title/tt0387764/
105,The Crown,2016,8.6,https://www.imdb.com/title/tt4786824/
106,Star Trek: The Next Generation,1987,8.6,https://www.imdb.com/title/tt0092455/
107,Friday Night Lights,2006,8.6,https://www.imdb.com/title/tt0758745/
108,The Adventures of Sherlock Holmes,1984,8.6,https://www.imdb.com/title/tt0086661/
109,Top Gear,2002,8.6,https://www.imdb.com/title/tt1628033/
110,The Rehearsal,2022,8.6,https://www.imdb.com/title/tt10802170/
111,The Grand Tour,2016,8.6,https://www.imdb.com/title/tt5712554/
112,Kenpuu Denki Berserk,1997,8.6,https://www.imdb.com/title/tt0318871/
113,House of the Dragon,2022,8.6,https://www.imdb.com/title/tt11198330/
114,The Thick of It,2005,8.6,https://www.imdb.com/title/tt0459159/
115,1883,2021,8.6,https://www.imdb.com/title/tt13991232/
116,Justice League Unlimited,2004,8.6,https://www.imdb.com/title/tt6025022/
117,Line of Duty,2012,8.6,https://www.imdb.com/title/tt2303687/
118,Aspirants,2021,8.6,https://www.imdb.com/title/tt14392248/
119,Deadwood,2004,8.6,https://www.imdb.com/title/tt0348914/
120,Dexter,2006,8.6,https://www.imdb.com/title/tt0773262/
121,The X Files,1993,8.6,https://www.imdb.com/title/tt0106179/
122,Parks and Recreation,2009,8.6,https://www.imdb.com/title/tt1266020/
123,The Jinx: The Life and Deaths of Robert Durst,2015,8.6,https://www.imdb.com/title/tt4299972/
124,Father Ted,1995,8.6,https://www.imdb.com/title/tt0111958/
125,Mahabharat,1988,8.6,https://www.imdb.com/title/tt0158417/
126,Naruto: Shippûden,2007,8.6,https://www.imdb.com/title/tt0988824/
127,This Is Us,2016,8.6,https://www.imdb.com/title/tt5555260/
128,Blackadder II,1986,8.6,https://www.imdb.com/title/tt0088484/
129,Bron/Broen,2011,8.6,https://www.imdb.com/title/tt1733785/
130,Kimetsu no Yaiba,2019,8.6,https://www.imdb.com/title/tt9335498/
131,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2006,8.6,https://www.imdb.com/title/tt0994314/
132,Daredevil,2015,8.6,https://www.imdb.com/title/tt3322312/
133,Behzat Ç.: Bir Ankara Polisiyesi,2010,8.6,https://www.imdb.com/title/tt1795096/
134,Atlanta,2016,8.6,https://www.imdb.com/title/tt4288182/
135,Primal,2019,8.6,https://www.imdb.com/title/tt10332508/
136,Heartstopper,2022,8.6,https://www.imdb.com/title/tt10638036/
137,It's a Sin,2021,8.6,https://www.imdb.com/title/tt9140342/
138,Archer,2009,8.6,https://www.imdb.com/title/tt1486217/
139,Mystery Science Theater 3000,1988,8.6,https://www.imdb.com/title/tt0094517/
140,Young Justice,2010,8.6,https://www.imdb.com/title/tt1641384/
141,Blackadder the Third,1987,8.6,https://www.imdb.com/title/tt0092324/
142,Gomorra: La serie,2014,8.6,https://www.imdb.com/title/tt2049116/
143,Lonesome Dove,1989,8.6,https://www.imdb.com/title/tt0096639/
144,Yeh Meri Family,2018,8.6,https://www.imdb.com/title/tt8595766/
145,The Return of Sherlock Holmes,1986,8.5,https://www.imdb.com/title/tt0090509/
146,Yellowstone,2018,8.5,https://www.imdb.com/title/tt4236770/
147,Mindhunter,2017,8.5,https://www.imdb.com/title/tt5290382/
148,Critical Role,2015,8.5,https://www.imdb.com/title/tt4834232/
149,Monster,2004,8.5,https://www.imdb.com/title/tt0434706/
150,Adventure Time,2010,8.5,https://www.imdb.com/title/tt1305826/
151,Haikyuu!!,2014,8.5,https://www.imdb.com/title/tt3398540/
152,QI,2003,8.5,https://www.imdb.com/title/tt0380136/
153,Mr. Bean,1990,8.5,https://www.imdb.com/title/tt0096657/
154,Ramayan,1987,8.5,https://www.imdb.com/title/tt0268093/
155,Making a Murderer,2015,8.5,https://www.imdb.com/title/tt5189670/
156,Dopesick,2021,8.5,https://www.imdb.com/title/tt9174558/
157,Anne,2017,8.5,https://www.imdb.com/title/tt5421602/
158,Poirot,1989,8.5,https://www.imdb.com/title/tt0094525/
159,Justified,2010,8.5,https://www.imdb.com/title/tt1489428/
160,Boardwalk Empire,2010,8.5,https://www.imdb.com/title/tt0979432/
161,Yes Minister,1980,8.5,https://www.imdb.com/title/tt0080306/
162,The Eric Andre Show,2012,8.5,https://www.imdb.com/title/tt2244495/
163,The Bugs Bunny Show,1960,8.5,https://www.imdb.com/title/tt0053488/
164,The Haunting of Hill House,2018,8.5,https://www.imdb.com/title/tt6763664/
165,The Queen's Gambit,2020,8.5,https://www.imdb.com/title/tt10048342/
166,The Newsroom,2012,8.5,https://www.imdb.com/title/tt1870479/
167,Formula 1: Drive to Survive,2019,8.5,https://www.imdb.com/title/tt8289930/
168,Flight of the Conchords,2007,8.5,https://www.imdb.com/title/tt0863046/
169,Impractical Jokers,2011,8.5,https://www.imdb.com/title/tt2100976/
170,Dragon Ball: Doragon bôru,1986,8.5,https://www.imdb.com/title/tt0088509/
171,Justice League,2001,8.5,https://www.imdb.com/title/tt0275137/
172,Sa-rang-eui bul-sa-chak,2019,8.5,https://www.imdb.com/title/tt10850932/
173,Coupling,2000,8.5,https://www.imdb.com/title/tt0237123/
174,Dragon Ball,1995,8.5,https://www.imdb.com/title/tt0280249/
175,Spaced,1999,8.5,https://www.imdb.com/title/tt0187664/
176,Battlestar Galactica,2003,8.5,https://www.imdb.com/title/tt0314979/
177,Homicide: Life on the Street,1993,8.5,https://www.imdb.com/title/tt0106028/
178,The Venture Bros.,2003,8.5,https://www.imdb.com/title/tt0417373/
179,Pose,2018,8.5,https://www.imdb.com/title/tt7562112/
180,The Family Man,2019,8.5,https://www.imdb.com/title/tt9544034/
181,The Offer,2022,8.5,https://www.imdb.com/title/tt13111040/
182,Long Way Round,2004,8.5,https://www.imdb.com/title/tt0403778/
183,Westworld,2016,8.5,https://www.imdb.com/title/tt0475784/
184,Le Bureau des Légendes,2015,8.5,https://www.imdb.com/title/tt4063800/
185,What We Do in the Shadows,2019,8.5,https://www.imdb.com/title/tt7908628/
186,The IT Crowd,2006,8.5,https://www.imdb.com/title/tt0487831/
187,Samurai chanpurû,2004,8.5,https://www.imdb.com/title/tt0423731/
188,Senke nad Balkanom,2017,8.5,https://www.imdb.com/title/tt6108262/
189,The Office,2001,8.5,https://www.imdb.com/title/tt0290978/
190,Louie,2010,8.5,https://www.imdb.com/title/tt1492966/
191,Mr. Robot,2015,8.5,https://www.imdb.com/title/tt4158110/
192,I'm Alan Partridge,1997,8.5,https://www.imdb.com/title/tt0129690/
193,"Yes, Prime Minister",1986,8.5,https://www.imdb.com/title/tt0086831/
194,Through the Wormhole,2010,8.5,https://www.imdb.com/title/tt1513168/
195,Letterkenny,2016,8.5,https://www.imdb.com/title/tt4647692/
196,Whose Line Is It Anyway?,1998,8.5,https://www.imdb.com/title/tt0163507/
197,Shameless,2011,8.5,https://www.imdb.com/title/tt1586680/
198,Spartacus: Blood and Sand,2010,8.5,https://www.imdb.com/title/tt1442449/
199,Samurai Jack,2001,8.5,https://www.imdb.com/title/tt0278238/
200,Skam,2015,8.5,https://www.imdb.com/title/tt5288312/
201,Jujutsu Kaisen,2020,8.5,https://www.imdb.com/title/tt12343534/
202,Hagane no renkinjutsushi,2003,8.5,https://www.imdb.com/title/tt0421357/
203,Brass Eye,1997,8.5,https://www.imdb.com/title/tt0118273/
204,Sons of Anarchy,2008,8.5,https://www.imdb.com/title/tt1124373/
205,North & South,2004,8.5,https://www.imdb.com/title/tt0417349/
206,Cobra Kai,2018,8.5,https://www.imdb.com/title/tt7221388/
207,Ezel,2009,8.5,https://www.imdb.com/title/tt1534360/
208,Shin seiki evangerion,1995,8.5,https://www.imdb.com/title/tt0112159/
209,Doctor Who,2005,8.5,https://www.imdb.com/title/tt0436992/
210,Silicon Valley,2014,8.5,https://www.imdb.com/title/tt2575988/
211,Spartacus: Gods of the Arena,2011,8.5,https://www.imdb.com/title/tt1758429/
212,Trailer Park Boys,2001,8.5,https://www.imdb.com/title/tt0290988/
213,Mob Psycho 100,2016,8.5,https://www.imdb.com/title/tt5897304/
214,From the Earth to the Moon,1998,8.5,https://www.imdb.com/title/tt0120570/
215,Endeavour,2012,8.5,https://www.imdb.com/title/tt2701582/
216,Detectorists,2014,8.5,https://www.imdb.com/title/tt4082744/
217,Twin Peaks,2017,8.5,https://www.imdb.com/title/tt4093826/
218,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,1999,8.5,https://www.imdb.com/title/tt0203082/
219,Futurama,1999,8.5,https://www.imdb.com/title/tt0149460/
220,Umbre,2014,8.5,https://www.imdb.com/title/tt4269716/
221,Hannibal,2013,8.5,https://www.imdb.com/title/tt2243973/
222,Community,2009,8.4,https://www.imdb.com/title/tt1439629/
223,Schitt's Creek,2015,8.4,https://www.imdb.com/title/tt3526078/
224,The Expanse,2015,8.4,https://www.imdb.com/title/tt3230854/
225,Chef's Table,2015,8.4,https://www.imdb.com/title/tt4295140/
226,Generation Kill,2008,8.4,https://www.imdb.com/title/tt0995832/
227,The Angry Video Game Nerd,2004,8.4,https://www.imdb.com/title/tt1230180/
228,The Night Of,2016,8.4,https://www.imdb.com/title/tt2401256/
229,Regular Show,2009,8.4,https://www.imdb.com/title/tt1710308/
230,Alfred Hitchcock Presents,1955,8.4,https://www.imdb.com/title/tt0047708/
231,Mr Inbetween,2018,8.4,https://www.imdb.com/title/tt7472896/
232,Big Little Lies,2017,8.4,https://www.imdb.com/title/tt3920596/
233,Wentworth,2013,8.4,https://www.imdb.com/title/tt2433738/
234,Shigatsu wa kimi no uso,2014,8.4,https://www.imdb.com/title/tt3895150/
235,The Knick,2014,8.4,https://www.imdb.com/title/tt2937900/
236,L'amica geniale,2018,8.4,https://www.imdb.com/title/tt7278862/
237,Cyberpunk: Edgerunners,2022,8.4,https://www.imdb.com/title/tt12590266/
238,Content Cop,2015,8.4,https://www.imdb.com/title/tt6111552/
239,Spy x Family,2022,8.4,https://www.imdb.com/title/tt13706018/
